"nombre","direccion","contacto","latitud","longitud"
"Oficialia 01 del Registro Civil Saltillo Coahuila","Ateneo 625, Centro, (cp 25000), Saltillo","(844) 412 05 05","25.4188452","-100.9963396"
"Oficialia 02 del Registro Civil Saltillo","Xicotencatl Sur 153, Centro, (cp 25000), Saltillo","(844) 410 30 10","25.4235018","-101.0056144"
"Oficialia 03 del Registro Civil Saltillo","Manuel Perez Treviño 774, Centro, (cp 25000), Saltillo","(844) 410 74 35","25.4272303","-101.0059854"
"Oficialia 04 del Registro Civil Saltillo","Domicilio Conocido s/n, (cp 25324), Aguanueva, Saltillo","(844) 417 4029","25.3936614","-100.9605417"
"Oficialia 07 de saltillo","Miguel Gomez 5, (cp 25300), Derramadero, Saltillo","","25.4431","-101.0150404"
"Oficialia 08 de saltillo","Zaragoza 7, (cp 25335),gomez Farias, Saltillo","(844) 417 31 35","24.9686515","-101.0330717"
"Oficialia 09 de Saltillo","Jesús Valdés Sánchez 1953, (cp 25298), La Aurora, Saltillo","(844) 431-70-24","25.4407194","-100.9397316"
"Oficialia 11 de Saltillo","Carretera A Zacatecas Km 164 , (cp 25340), La Ventura, Saltillo","(844) 431 70 24","25.4605928","-101.0255594"
"Oficialia 14 de Saltillo","Domicilio Conocido s/n , (cp 25336), San Juan Del Retiro, Saltillo","","25.4267244","-100.9954254"
"Oficialia 15 de Saltillo","Domicilio Conocido s/n, San Juan De La Vaqueria, Saltillo","(844) 488 08 28","25.2533693","-101.2183618"
"Oficialia 16 de saltillo","Domicilio Conocido (cp 25301), El Clavel, La Noria, Saltillo","(844) 488 08 28","25.4521792","-100.9487214"
"Oficialia 17 de saltillo","Domicilio Conocido, Presa De San Pedro, Saltillo","01 200 12 43 834","25.3936616","-100.9642075"
"Oficialia 01 del Registro Civil Torreon Coahuila","Allende 840 (cp 2700), Centro, Torreon","(871) 712 22 45","25.5428443","-103.4067861"
"Oficialia 02 del Registro Civil Torreon","Allende 1118 (cp 2700), Centro, Torreon","(871) 716 70 85","25.5428443","-103.4067861"
"Oficialia 03 del Registro Civil Torreon","Allende 239 (cp 2700), Centro, Torreon","(871) 713 32 44","25.5428443","-103.4067861"
"Oficialia 04 del Registro Civil Torreon","Domicilio Conocido s/n (cp 27430), Flor De Jimulco, Torreon","(871) 713 32 44","25.5796736","-103.4218572"
"Oficialia 05 del Registro Civil Torreon","Cuarzo 123 (cp 27400), La Joya, Torreon","(871) 293 57 85","25.5432434","-103.3377285"
"Oficialia 06 del Registro Civil Torreon","Antonio De Juambelz 421 L-4, Nuevo Torreon, Torreon","(871) 763 10 21","25.5695159","-103.3899546"
"Oficialia 07 del Registro Civil Torreon","Presidente Carranza Ote. 1764 (cp 2700), Centro, Torreon","(871) 718 67 67","25.5428443","-103.4067861"
"Oficialia 08 del Registro Civil Torreon","Blvd. Revolucion 260, Centro, Torreon","(871) 712 52 34","25.5359048","-103.4522884"
"Oficialia 09 del Registro Civil Torreon","Blvd. Revolucion 260 (cp 27420), La Concha, Torreon","(871) 750-65-49","25.6007371","-103.4073641"
"Oficialia 10 del Registro Civil Torreon","Domicilio Conocido s/n (cp 24412), La Paz, Torreon","(871) 711-69-95","25.5943177","-103.3578581"
"Oficialia 11 del Registro Civil Torreon","Division Del Norte 161-a Las Misiones, Torreon","(871) 209-03-99","25.5099572","-103.4053432"
"Oficialia 12 del Registro Civil Torreon","Madrid 676 (cp 27100), Torreon","(871) 718 90 02","25.5653262","-103.4319293"
"Oficialia 01 del Registro Civil Monclova","De la Fuente 141 (cp 27500), Centro, Monclova","01 866 632 29 22","0","0"
"Oficialia 02 del Registro Civil Monclova","Juarez 101 (cp 27500), Centro, Monclova","(866) 633-19-45","0","0"
"Oficialia 03 del Registro Civil Monclova","Cuauhtemoc 821 (cp 25730), Centro, Monclova","(866) 633 02 62","26.9145698","-101.4181202"
"Oficialia 04 del Registro Civil Monclova","Sidermex 1119 obrera Sur 2o. Sector (cp 25790), Centro, Monclova","(866) 110 62 60","26.8587137","-101.4330693"
"Oficialia 06 del Registro Civil Monclova","Av. San Jose 908 (cp 25048), Centro, Monclova","866 633 33 00","14.582798","121.045269"
"Oficialia 01 del Registro Civil Acuña","Matamoros Local 2, Centro, Acuña","(877) 772 93 64","29.3232963","-100.9514187"
"Oficialia 02 del Registro Civil Acuña","Plaza San José Local 1-2045, Centro, Acuña","(877) 772-15-04","29.3232963","-100.9514187"
"Oficialia 05 del Registro Civil Acuña","Noche Buena Local 3, Centro, Acuña","(877) 773-21-86","29.3232963","-100.9514187"
